도시코드,도시명,측정소코드,측정소명,측정망코드,측정망구분,측정날짜,SO2(ppm),NO2(ppm),CO(ppm),O3(ppm),PM10(㎍/㎥),PM25(㎍/㎥)
30,가평군,131611,가평,1,도시대기,20220424,0.002,0.007,0.4,0.046,41,24
30,가평군,131611,가평,1,도시대기,20220425,0.001,0.008,0.5,0.044,54,31
30,가평군,131611,가평,1,도시대기,20220426,0.001,0.004,0.4,0.046,38,20
30,가평군,131611,가평,1,도시대기,20220427,0.002,0.005,0.3,0.044,91,17
30,가평군,131611,가평,1,도시대기,20220428,0.002,0.004,0.4,0.04,56,14
30,가평군,131611,가평,1,도시대기,20220429,0.001,0.002,0.3,0.04,7,4
30,가평군,131611,가평,1,도시대기,20220430,0.001,0.004,0.4,0.033,12,9
30,가평군,131611,가평,1,도시대기,20220501,0.002,0.005,0.4,0.04,34,17
30,가평군,131611,가평,1,도시대기,20220502,0.002,0.006,0.4,0.036,29,18
30,가평군,131611,가평,1,도시대기,20220503,0.002,0.007,0.4,0.037,28,17
30,가평군,131611,가평,1,도시대기,20220504,0.002,0.008,0.4,0.044,34,20
30,가평군,131611,가평,1,도시대기,20220505,0.002,0.008,0.4,0.048,31,20
30,가평군,131611,가평,1,도시대기,20220506,0.002,0.005,0.3,0.04,32,20
30,가평군,131611,가평,1,도시대기,20220507,0.001,0.003,0.3,0.04,24,12
30,가평군,131611,가평,1,도시대기,20220508,0.001,0.003,0.3,0.033,13,7
30,가평군,131611,가평,1,도시대기,20220509,0.001,0.003,0.2,0.032,9,6
30,가평군,131611,가평,1,도시대기,20220510,0.001,0.004,0.2,0.035,13,9
30,가평군,131611,가평,1,도시대기,20220511,0.002,0.006,0.3,0.044,23,12
30,가평군,131611,가평,1,도시대기,20220512,0.001,0.005,0.3,0.037,25,13
30,가평군,131611,가평,1,도시대기,20220513,0.001,0.003,0.3,0.037,19,11
30,가평군,131611,가평,1,도시대기,20220514,0.001,0.003,0.2,0.033,19,8
30,가평군,131611,가평,1,도시대기,20220515,0.002,0.003,0.2,0.038,19,8
30,가평군,131611,가평,1,도시대기,20220516,0.002,0.006,0.3,0.045,29,15
30,가평군,131611,가평,1,도시대기,20220517,0.002,0.008,0.4,0.05,42,24
30,가평군,131611,가평,1,도시대기,20220518,0.002,0.009,0.4,0.053,47,30
